time_s,cmd_x,cmd_y,actual_x,actual_y
6.717689,341.772,0.000,345.903,4.131
6.768609,336.709,0.000,340.840,4.131
6.819541,331.646,0.000,335.777,4.131
6.870435,326.582,0.000,330.713,4.131
6.921761,321.519,0.000,325.650,4.131
6.973427,316.456,0.000,320.587,4.131
7.024974,311.392,0.000,315.524,4.131
7.076229,306.329,0.000,310.460,4.131
7.127531,301.266,0.000,305.397,4.131
7.178911,296.203,0.000,300.334,4.131
7.230342,291.139,0.000,295.270,4.131
7.281851,286.076,0.000,290.207,4.131
7.333170,281.013,0.000,285.144,4.131
7.384255,275.949,0.000,280.081,4.131
7.435707,270.886,0.000,275.017,4.131
7.487049,265.823,0.000,269.954,4.131
7.538463,260.759,0.000,264.891,4.131
7.589457,255.696,0.000,259.827,4.131
7.640913,250.633,0.000,254.764,4.131
7.692225,245.570,0.000,249.701,4.131
7.743507,240.506,0.000,244.637,4.131
7.794676,235.443,0.000,239.574,4.131
7.846256,230.380,0.000,234.511,4.131
7.897280,225.316,0.000,229.448,4.131
7.948360,220.253,0.000,224.384,4.131
7.999643,215.190,0.000,219.321,4.131
8.050978,210.127,0.000,214.258,4.131
8.101978,205.063,0.000,209.194,4.131
8.153381,200.000,0.000,204.131,4.131
8.204783,200.000,400.000,200.000,400.000
8.205556,200.000,0.000,200.000,4.131
8.231423,205.063,0.000,202.736,4.131
8.257221,210.127,0.000,206.747,4.131
8.283357,215.190,0.000,211.347,4.131
8.309159,220.253,0.000,216.219,4.131
8.335813,225.316,0.000,221.213,4.131
8.361938,230.380,0.000,226.252,4.131
8.387700,235.443,0.000,231.312,4.131
8.413535,240.506,0.000,236.375,4.131
8.439921,245.570,0.000,241.438,4.131
8.466377,250.633,0.000,246.502,4.131
8.492224,255.696,0.000,251.565,4.131
8.518623,260.759,0.000,256.628,4.131
8.544649,265.823,0.000,261.692,4.131
8.570954,270.886,0.000,266.755,4.131
8.597059,275.949,0.000,271.818,4.131
8.623401,281.013,0.000,276.882,4.131
8.650025,286.076,0.000,281.945,4.131
8.676576,291.139,0.000,287.008,4.131
8.703273,296.203,0.000,292.071,4.131
8.729388,301.266,0.000,297.135,4.131
8.755466,306.329,0.000,302.198,4.131
8.781348,311.392,0.000,307.261,4.131
8.807762,316.456,0.000,312.325,4.131
8.833759,321.519,0.000,317.388,4.131
8.859554,326.582,0.000,322.451,4.131
8.886040,331.646,0.000,327.514,4.131
8.912324,336.709,0.000,332.578,4.131
8.938637,341.772,0.000,337.641,4.131
8.964719,346.835,0.000,342.704,4.131
8.990531,351.899,0.000,347.768,4.131
9.016395,356.962,0.000,352.831,4.131
9.042269,362.025,0.000,357.894,4.131
9.068211,367.089,0.000,362.957,4.131
9.094679,372.152,0.000,368.021,4.131
9.120748,377.215,0.000,373.084,4.131
9.146947,382.278,0.000,378.147,4.131
9.172933,387.342,0.000,383.211,4.131
9.198984,392.405,0.000,388.274,4.131
9.224608,397.468,0.000,393.337,4.131
9.251196,402.532,0.000,398.401,4.131
9.277751,407.595,0.000,403.464,4.131
9.303920,412.658,0.000,408.527,4.131
9.330147,417.722,0.000,413.590,4.131
9.356227,422.785,0.000,418.654,4.131
9.382693,427.848,0.000,423.717,4.131
9.408889,432.911,0.000,428.780,4.131
9.434938,437.975,0.000,433.844,4.131
9.460974,443.038,0.000,438.907,4.131
9.487747,448.101,0.000,443.970,4.131
9.513962,453.165,0.000,449.033,4.131
9.540005,458.228,0.000,454.097,4.131
9.566457,463.291,0.000,459.160,4.131
9.592746,468.354,0.000,464.223,4.131
9.618844,473.418,0.000,469.287,4.131
9.645431,478.481,0.000,474.350,4.131
9.671823,483.544,0.000,479.413,4.131
9.697885,488.608,0.000,484.476,4.131
9.723948,493.671,0.000,489.540,4.131
9.750675,498.734,0.000,494.603,4.131
9.776721,503.797,0.000,499.666,4.131
9.802735,508.861,0.000,504.730,4.131
9.829429,513.924,0.000,509.793,4.131
9.855248,518.987,0.000,514.856,4.131
9.881299,524.051,0.000,519.919,4.131
9.906924,529.114,0.000,524.983,4.131
9.933319,534.177,0.000,530.046,4.131
9.959991,539.241,0.000,535.109,4.131
9.986448,544.304,0.000,540.173,4.131
10.012497,549.367,0.000,545.236,4.131
10.038443,554.430,0.000,550.299,4.131
10.064730,559.494,0.000,555.363,4.131
10.091046,564.557,0.000,560.426,4.131
10.117412,569.620,0.000,565.489,4.131
10.143686,574.684,0.000,570.552,4.131
10.170072,579.747,0.000,575.616,4.131
10.196448,584.810,0.000,580.679,4.131
10.222775,589.873,0.000,585.742,4.131
10.248930,594.937,0.000,590.806,4.131
10.275167,600.000,0.000,595.869,4.131
10.301304,600.000,0.000,595.869,4.131
10.327845,594.937,0.000,593.399,4.131
10.353963,589.873,0.000,590.397,4.131
10.379915,584.810,0.000,586.659,4.131
10.405929,579.747,0.000,582.374,4.131
10.432203,574.684,0.000,577.898,4.131
10.458282,569.620,0.000,573.175,4.131
10.484836,564.557,0.000,568.335,4.131
10.511433,559.494,0.000,563.431,4.131
10.537816,554.430,0.000,558.449,4.131
10.563773,549.367,0.000,553.442,4.131
10.589810,544.304,0.000,548.414,4.131
10.616251,539.241,0.000,543.364,4.131
10.642642,534.177,0.000,538.308,4.131
10.668893,529.114,0.000,533.245,4.131
